# source: https://assets.lulu.com/media/specs/lulu-print-api-spec-sheet.xlsx
# fetched: 2026-09-03
# products: 3277
legacy_sku,sku,book_type,min_page,max_page,trim_width_in,trim_height_in,trim_width_mm,trim_height_mm,bleed_width_in,bleed_height_in,bleed_width_mm,bleed_height_mm,interior_color,print_quality,bind,interior_number,paper_type,interior_ppi,lamination,linen_color,foil_color
0425X0687FCPRECW080CW444MXX,0425X0687.FC.PRE.CW.080CW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Case Wrap,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCPREPB060UW444GXX,0425X0687.FC.PRE.PB.060UW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Perfect,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCPREPB060UW444MXX,0425X0687.FC.PRE.PB.060UW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Perfect,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCPREPB080CW444GXX,0425X0687.FC.PRE.PB.080CW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Perfect,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCPREPB080CW444MXX,0425X0687.FC.PRE.PB.080CW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Perfect,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCPRESS060UW444GXX,0425X0687.FC.PRE.SS.060UW444.GXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Saddle Stitch,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCPRESS060UW444MXX,0425X0687.FC.PRE.SS.060UW444.MXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Saddle Stitch,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCPRESS080CW444GXX,0425X0687.FC.PRE.SS.080CW444.GXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Saddle Stitch,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCPRESS080CW444MXX,0425X0687.FC.PRE.SS.080CW444.MXX,Pocketbook,4.0,48.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Premium,Saddle Stitch,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCSTDCO060UW444GXX,0425X0687.FC.STD.CO.060UW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Coil,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCSTDCO060UW444MXX,0425X0687.FC.STD.CO.060UW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Coil,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCSTDCO080CW444GXX,0425X0687.FC.STD.CO.080CW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Coil,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCSTDCO080CW444MXX,0425X0687.FC.STD.CO.080CW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Coil,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCSTDCW060UW444GXX,0425X0687.FC.STD.CW.060UW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687FCSTDCW060UW444MXX,0425X0687.FC.STD.CW.060UW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCSTDCW080CW444GXX,0425X0687.FC.STD.CW.080CW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Case Wrap,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCSTDCW080CW444MXX,0425X0687.FC.STD.CW.080CW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Case Wrap,80.0,80# Coated White,444.0,Matte,X,X
0425X0687FCSTDPB060UW444GXX,0425X0687.FC.STD.PB.060UW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Perfect,60.0,60# Uncoated White,444.0,Gloss,X,X
